"YEAR","JURISDICTION","METRIC","Sum(FINES)","Sum(ARRESTS)","Sum(CHARGES)"
2022,"NSW","mobile_phone_use",207697,,
2022,"NSW","non_wearing_seatbelts",9722,,
2022,"NSW","speed_fines",1217596,,
2022,"NT","mobile_phone_use",302,,
2022,"NT","non_wearing_seatbelts",1166,,
2022,"NT","speed_fines",33642,,
2022,"QLD","mobile_phone_use",121639,,
2022,"QLD","non_wearing_seatbelts",55927,,
2022,"QLD","speed_fines",849399,,
2022,"SA","mobile_phone_use",4583,,
2022,"SA","non_wearing_seatbelts",3046,,
2022,"SA","speed_fines",186196,,
2022,"TAS","mobile_phone_use",1973,,
2022,"TAS","non_wearing_seatbelts",890,,
2022,"TAS","speed_fines",42737,,
2022,"VIC","mobile_phone_use",19428,,
2022,"VIC","non_wearing_seatbelts",7492,,
2022,"VIC","speed_fines",1378231,,
2022,"WA","mobile_phone_use",6346,,
2022,"WA","non_wearing_seatbelts",2186,,
2022,"WA","speed_fines",843541,,
2023,"ACT","mobile_phone_use",288,,
2023,"ACT","non_wearing_seatbelts",75,,
2023,"ACT","speed_fines",71961,,
2023,"ACT","unlicensed_driving",260,215,708
2023,"NSW","mobile_phone_use",216042,,187
2023,"NSW","non_wearing_seatbelts",10246,,267
2023,"NSW","speed_fines",881483,,1393
2023,"NSW","unlicensed_driving",7859,,30836
2023,"NT","mobile_phone_use",205,5,14
2023,"NT","non_wearing_seatbelts",789,47,348
2023,"NT","speed_fines",43306,44,215
2023,"NT","unlicensed_driving",366,515,1712
2023,"QLD","mobile_phone_use",80292,,
2023,"QLD","non_wearing_seatbelts",37530,,
2023,"QLD","speed_fines",860626,,
2023,"QLD","unlicensed_driving",27701,,
2023,"SA","mobile_phone_use",5769,,
2023,"SA","non_wearing_seatbelts",2884,,
2023,"SA","speed_fines",203602,102,282
2023,"SA","unlicensed_driving",7059,1509,4479
2023,"TAS","mobile_phone_use",2428,,37
2023,"TAS","non_wearing_seatbelts",2070,,50
2023,"TAS","speed_fines",65040,,361
2023,"TAS","unlicensed_driving",234,,1567
2023,"VIC","mobile_phone_use",49546,,
2023,"VIC","non_wearing_seatbelts",30400,,
2023,"VIC","speed_fines",1302628,,
2023,"VIC","unlicensed_driving",9285,,
2023,"WA","mobile_phone_use",3592,7,157
2023,"WA","non_wearing_seatbelts",1774,19,347
2023,"WA","speed_fines",807487,13,1557
2023,"WA","unlicensed_driving",2060,2097,15332
